benchmark_set	population	method	metric	higher_is_better	n_complexes	n_contributing	estimate	ci95_low	ci95_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	top1_success_rate	True	92	92	0.5760869565217391	0.4782608695652174	0.6739130434782609	10000	10000	20260907
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	top3_success_rate	True	92	92	0.7282608695652174	0.6413043478260869	0.8152173913043478	10000	10000	20260907
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	top5_success_rate	True	92	92	0.7934782608695652	0.7065217391304348	0.8695652173913043	10000	10000	20260907
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	92	92	0.6666368247410447	0.5836686114663258	0.7484512479741061	10000	10000	20260907
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	92	92	0.649803668818782	0.5872248082545781	0.7108966654291504	10000	10000	20260907
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	92	84	1.2231749214607386	0.7933014483061424	1.688156221857828	10000	10000	20260907
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	92	92	0.08695652173913043	0.03260869565217391	0.15217391304347827	10000	10000	20260907
All128	rankable_lt2	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	92	92	0.08695652173913043	0.03260869565217391	0.15217391304347827	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	top1_success_rate	True	92	92	0.7282608695652174	0.6304347826086957	0.8152173913043478	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	top3_success_rate	True	92	92	0.8586956521739131	0.782608695652174	0.9239130434782609	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	top5_success_rate	True	92	92	0.8586956521739131	0.782608695652174	0.9239130434782609	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	mrr_first_lt2	True	92	92	0.8013071218234261	0.729517878709455	0.8685317672715771	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	ndcg_at_10	True	92	92	0.7906073608632901	0.7500117254451849	0.8297487035965049	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	mean_regret_A_scored	False	92	92	0.6868532451016819	0.4560280247880096	0.9484219557975185	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	complex_failure_rate	False	92	92	0.0	0.0	0.0	10000	10000	20260907
All128	rankable_lt2	SurfNA-scorer0	pose_score_failure_rate	False	92	92	0.0	0.0	0.0	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	top1_success_rate	True	92	92	0.5543478260869565	0.45652173913043476	0.6521739130434783	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	top3_success_rate	True	92	92	0.7391304347826086	0.6521739130434783	0.8260869565217391	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	top5_success_rate	True	92	92	0.8043478260869565	0.717391304347826	0.8804347826086957	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	mrr_first_lt2	True	92	92	0.6768523936768099	0.5977376041035084	0.7531931631757425	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	ndcg_at_10	True	92	92	0.6914985516554009	0.63753753394574	0.7428571332331897	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	mean_regret_A_scored	False	92	91	1.9609156684462188	1.3816686171547399	2.6116292786625945	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	complex_failure_rate	False	92	92	0.010869565217391304	0.0	0.03260869565217391	10000	10000	20260907
All128	rankable_lt2	rDock-26.05-alpha	pose_score_failure_rate	False	92	92	0.010869565217391304	0.0	0.03260869565217391	10000	10000	20260907
Yan72	full	AutoDock-Vina-1.2.7	top1_success_rate	True	72	72	0.4027777777777778	0.2916666666666667	0.5138888888888888	10000	10000	20261006
Yan72	full	AutoDock-Vina-1.2.7	top3_success_rate	True	72	72	0.5694444444444444	0.4583333333333333	0.6805555555555556	10000	10000	20261006
Yan72	full	AutoDock-Vina-1.2.7	top5_success_rate	True	72	72	0.625	0.5138888888888888	0.7361111111111112	10000	10000	20261006
Yan72	full	AutoDock-Vina-1.2.7	mrr_first_lt2	True	72	72	0.499189360929557	0.3995972903050109	0.5979513888888888	10000	10000	20261006
Yan72	full	AutoDock-Vina-1.2.7	ndcg_at_10	True	72	72	0.6754306599924235	0.6118037527272108	0.7359901401827886	10000	10000	20261006
Yan72	full	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	72	71	2.111291868286688	1.4470308243822887	2.871923386377989	10000	10000	20261006
Yan72	full	AutoDock-Vina-1.2.7	complex_failure_rate	False	72	72	0.013888888888888888	0.0	0.041666666666666664	10000	10000	20261006
Yan72	full	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	72	72	0.025	0.00625	0.05729166666666666	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	top1_success_rate	True	72	72	0.4722222222222222	0.3611111111111111	0.5833333333333334	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	top3_success_rate	True	72	72	0.5416666666666666	0.4305555555555556	0.6527777777777778	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	top5_success_rate	True	72	72	0.5972222222222222	0.4861111111111111	0.7083333333333334	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	72	72	0.5206519039239628	0.4130680455052391	0.6280533509700177	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	72	72	0.6685096999769127	0.5939027020485462	0.7395371711209752	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	72	67	1.37237272487105	0.861668780092371	1.9478129400607695	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	72	72	0.06944444444444445	0.013888888888888888	0.1388888888888889	10000	10000	20261006
Yan72	full	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	72	72	0.06944444444444445	0.013888888888888888	0.1388888888888889	10000	10000	20261006
Yan72	full	SurfNA-scorer0	top1_success_rate	True	72	72	0.5833333333333334	0.4722222222222222	0.6944444444444444	10000	10000	20261006
Yan72	full	SurfNA-scorer0	top3_success_rate	True	72	72	0.6388888888888888	0.5277777777777778	0.75	10000	10000	20261006
Yan72	full	SurfNA-scorer0	top5_success_rate	True	72	72	0.6388888888888888	0.5277777777777778	0.75	10000	10000	20261006
Yan72	full	SurfNA-scorer0	mrr_first_lt2	True	72	72	0.6185672031158141	0.5104333618092298	0.7227643435846561	10000	10000	20261006
Yan72	full	SurfNA-scorer0	ndcg_at_10	True	72	72	0.7683992086529963	0.7119459466663789	0.8193750238642613	10000	10000	20261006
Yan72	full	SurfNA-scorer0	mean_regret_A_scored	False	72	72	1.0795361031054438	0.6896091493752529	1.5266538653351454	10000	10000	20261006
Yan72	full	SurfNA-scorer0	complex_failure_rate	False	72	72	0.0	0.0	0.0	10000	10000	20261006
Yan72	full	SurfNA-scorer0	pose_score_failure_rate	False	72	72	0.0	0.0	0.0	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	top1_success_rate	True	72	72	0.4722222222222222	0.3611111111111111	0.5833333333333334	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	top3_success_rate	True	72	72	0.5972222222222222	0.4861111111111111	0.7083333333333334	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	top5_success_rate	True	72	72	0.625	0.5138888888888888	0.7361111111111112	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	mrr_first_lt2	True	72	72	0.5529632878639309	0.44975516446124447	0.6551624169132011	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	ndcg_at_10	True	72	72	0.7051535262545454	0.6390038145288853	0.7689813830455603	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	mean_regret_A_scored	False	72	72	2.0123737706411053	1.3175686664268815	2.781340375063056	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	complex_failure_rate	False	72	72	0.0	0.0	0.0	10000	10000	20261006
Yan72	full	rDock-26.05-alpha	pose_score_failure_rate	False	72	72	0.0	0.0	0.0	10000	10000	20261006
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	top1_success_rate	True	54	54	0.5370370370370371	0.4074074074074074	0.6666666666666666	10000	10000	20261007
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	top3_success_rate	True	54	54	0.7592592592592593	0.6481481481481481	0.8703703703703703	10000	10000	20261007
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	top5_success_rate	True	54	54	0.8333333333333334	0.7222222222222222	0.9259259259259259	10000	10000	20261007
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	mrr_first_lt2	True	54	54	0.6655858145727427	0.5639482873396271	0.7651239711934156	10000	10000	20261007
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	ndcg_at_10	True	54	54	0.6948485198516631	0.6257949349325276	0.7605647931832182	10000	10000	20261007
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	54	53	1.9564903041541386	1.1590891723358134	2.8708527450710943	10000	10000	20261007
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	complex_failure_rate	False	54	54	0.018518518518518517	0.0	0.05555555555555555	10000	10000	20261007
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	54	54	0.024537037037037038	0.0032407407407407406	0.06342592592592593	10000	10000	20261007
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	top1_success_rate	True	54	54	0.6296296296296297	0.5	0.7592592592592593	10000	10000	20261007
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	top3_success_rate	True	54	54	0.7222222222222222	0.5925925925925926	0.8333333333333334	10000	10000	20261007
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	top5_success_rate	True	54	54	0.7962962962962963	0.6851851851851852	0.8888888888888888	10000	10000	20261007
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	54	54	0.6942025385652836	0.5841192738966431	0.8003692680776016	10000	10000	20261007
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	54	54	0.6923616369527207	0.6063944199677613	0.7725502514828446	10000	10000	20261007
Yan72	rankable_lt2	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	54	50	1.2738025420977637	0.6605664382267236	1.9693979120836018	10000	10000	20261007
