id	path	availability	sha256	bytes	seed	epoch	config	public_download_url
figure3/lb200_data10_s1_transfer_all/ema200.pt	reproducibility/checkpoints/figure3/lb200_data10_s1_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	ec5601e975373c6ebe4eb02403f3667a4f3f26c5e06397e5ff90bfc42d1c9e90	76370706		200	configs/paper/figure3/lb200_data10_s1_transfer_all/parameters.yml	
figure3/lb200_data10_s1_transfer_nonsurface/ema200.pt	reproducibility/checkpoints/figure3/lb200_data10_s1_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	5b828f03076d9c781534ac829ddc35b8701104c2740c9164486b770b53cded06	76370706		200	configs/paper/figure3/lb200_data10_s1_transfer_nonsurface/parameters.yml	
figure3/lb200_data25_s0_transfer_all/ema200.pt	reproducibility/checkpoints/figure3/lb200_data25_s0_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	1b55d1189d1635e3b524628e0a58109a6655d99fc4283bbd12e12e599374c7e2	76370706		200	configs/paper/figure3/lb200_data25_s0_transfer_all/parameters.yml	
figure3/lb200_data25_s0_transfer_nonsurface/ema200.pt	reproducibility/checkpoints/figure3/lb200_data25_s0_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	47dccf0f66d7b3a5b03883ca5f2853c820f6bb18ac6d169beeb8ed1b9e42f369	76370706		200	configs/paper/figure3/lb200_data25_s0_transfer_nonsurface/parameters.yml	
figure3/lb200_data25_s2_transfer_all/ema200.pt	reproducibility/checkpoints/figure3/lb200_data25_s2_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	c33f6d1c99201c2296011ac3d284f8f74ab0485c8ab70e7ce48d6237aaa7625c	76370706		200	configs/paper/figure3/lb200_data25_s2_transfer_all/parameters.yml	
figure3/lb200_data25_s2_transfer_nonsurface/ema200.pt	reproducibility/checkpoints/figure3/lb200_data25_s2_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	9e0e4a67c8a04caf1a8f5368b10f3b451f31f0a8f988c3929696b9fdb49d3263	76370706		200	configs/paper/figure3/lb200_data25_s2_transfer_nonsurface/parameters.yml	
figure3/lb200_data50_s1_transfer_all/ema200.pt	reproducibility/checkpoints/figure3/lb200_data50_s1_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	95e522a48c6ff2d417236c7cb9743fd47e5c4f97b346a2bfc21fa7507c4efef6	76370706		200	configs/paper/figure3/lb200_data50_s1_transfer_all/parameters.yml	
figure3/lb200_data50_s1_transfer_nonsurface/ema200.pt	reproducibility/checkpoints/figure3/lb200_data50_s1_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	b049f51be64d79c729c3c40f2b2a03f34288c8e09033ba3f380a6147fc996880	76370706		200	configs/paper/figure3/lb200_data50_s1_transfer_nonsurface/parameters.yml	
checkpoints/generator_seed0/model.pt	checkpoints/generator_seed0/model.pt	github_release_asset	0e516b28d8304b14969c12d6ec997b5ac50baa41869400ecaa72fcc748fbfd6c	76385090				https://github.com/Llewyn001/SurfNA/releases/download/v2.0.0-rc1/surfna-v2-default-checkpoints.tar.gz
checkpoints/mdn/best_head.pt	checkpoints/mdn/best_head.pt	github_release_asset	6ca5c4dd9b2903b5df42b20f531cdb1babbf1871753fbde05132d0fd146a39b8	430060				https://github.com/Llewyn001/SurfNA/releases/download/v2.0.0-rc1/surfna-v2-default-checkpoints.tar.gz
checkpoints/mdn/native_prior_static_bundle.pt	checkpoints/mdn/native_prior_static_bundle.pt	github_release_asset	a01385ac6bdadfa5376361c97be786040ee49e6036dc65e9a938e399e518febc	38127768				https://github.com/Llewyn001/SurfNA/releases/download/v2.0.0-rc1/surfna-v2-default-checkpoints.tar.gz
checkpoints/scorer/model.pt	checkpoints/scorer/model.pt	github_release_asset	12f144175afab658b0c7d33031be84f3f2082134f0fa69f7fe4c2ae310f859df	261964				https://github.com/Llewyn001/SurfNA/releases/download/v2.0.0-rc1/surfna-v2-default-checkpoints.tar.gz
reproducibility/checkpoints/protein_source/protein_diffusion_checkpoint.pt	reproducibility/checkpoints/protein_source/protein_diffusion_checkpoint.pt	local_research_archive_not_in_lightweight_release	c90a95381926534dcdddc7699ba3d5cc400afd23f9b07cbc7b614c4b9987239f	75986289				
reproducibility/checkpoints/protein_source/protein_mdn_checkpoint.pt	reproducibility/checkpoints/protein_source/protein_mdn_checkpoint.pt	local_research_archive_not_in_lightweight_release	8f997c35fa3c659f56a21a6b0996fb0faefd2a7f685359cd993231a03e04cc3a	153292081				
figure2/seed1/ema500	reproducibility/checkpoints/figure2/seed1/model.pt	github_release_asset	0110655f0bc977d65736209220a3e42a93c5557603a2c5b04700ff5b0097880f	76385090	1	500	configs/paper/figure2/seed1/parameters.yml	https://github.com/Llewyn001/SurfNA/releases/download/v2.0.0-rc1/surfna-v2-benchmark-repeats-checkpoints.tar.gz
figure2/seed2/ema400	reproducibility/checkpoints/figure2/seed2/model.pt	github_release_asset	c6a4392e6e2a68072437748d9e12a3f294ee4a293b2224566be4326ef7908c2a	76385090	2	400	configs/paper/figure2/seed2/parameters.yml	https://github.com/Llewyn001/SurfNA/releases/download/v2.0.0-rc1/surfna-v2-benchmark-repeats-checkpoints.tar.gz
data10_s0_all	reproducibility/checkpoints/figure3/lb200_data10_s0_transfer_all/ema200.pt	local_research_archive_not_in_lightweight_release	323ac488fc9fb9ee179a5fbfbf4edfd9e50169d425c5c49fa780786f62890801	76370706	0	200	configs/paper/figure3/lb200_data10_s0_transfer_all/parameters.yml	
data10_s0_nonsurface	reproducibility/checkpoints/figure3/lb200_data10_s0_transfer_nonsurface/ema200.pt	local_research_archive_not_in_lightweight_release	cf2b0d6916389553b5842bd56ceca3f72283dcae17b2091c3a423f79fba7b32f	76370706	0	200	configs/paper/figure3/lb200_data10_s0_transfer_nonsurface/parameters.yml	
