method_id,method,benchmark_set,run_id,denominator,valid_complexes,top1_count,top1_pct,top3_count,top3_pct,top5_count,top5_pct,top10_count,top10_pct,top40_count,top40_pct
vina,AutoDock Vina,Yan,rep2,72,62,20,27.77777778,23,31.94444444,27,37.5,30,41.66666667,38,52.77777778
vina,AutoDock Vina,Philips,rep2,39,29,7,17.94871795,7,17.94871795,9,23.07692308,9,23.07692308,12,30.76923077
vina,AutoDock Vina,Chen,rep2,52,43,10,19.23076923,13,25,18,34.61538462,18,34.61538462,22,42.30769231
vina,AutoDock Vina,Ruiz,rep2,52,37,6,11.53846154,6,11.53846154,8,15.38461538,9,17.30769231,12,23.07692308
vina,AutoDock Vina,All128,rep2,128,106,29,22.65625,35,27.34375,44,34.375,48,37.5,59,46.09375
vina,AutoDock Vina,Yan,rep3,72,63,22,30.55555556,25,34.72222222,28,38.88888889,31,43.05555556,38,52.77777778
vina,AutoDock Vina,Philips,rep3,39,30,6,15.38461538,7,17.94871795,8,20.51282051,11,28.20512821,13,33.33333333
vina,AutoDock Vina,Chen,rep3,52,44,8,15.38461538,12,23.07692308,15,28.84615385,20,38.46153846,23,44.23076923
vina,AutoDock Vina,Ruiz,rep3,52,38,5,9.615384615,7,13.46153846,8,15.38461538,10,19.23076923,11,21.15384615
vina,AutoDock Vina,All128,rep3,128,107,30,23.4375,38,29.6875,43,33.59375,50,39.0625,58,45.3125
plants,PLANTS,Yan,rep1,72,67,24,33.33333333,31,43.05555556,32,44.44444444,33,45.83333333,35,48.61111111
plants,PLANTS,Philips,rep1,39,33,6,15.38461538,8,20.51282051,9,23.07692308,9,23.07692308,10,25.64102564
plants,PLANTS,Chen,rep1,52,49,14,26.92307692,17,32.69230769,18,34.61538462,20,38.46153846,21,40.38461538
plants,PLANTS,Ruiz,rep1,52,50,6,11.53846154,9,17.30769231,10,19.23076923,10,19.23076923,12,23.07692308
plants,PLANTS,All128,rep1,128,115,34,26.5625,43,33.59375,45,35.15625,47,36.71875,51,39.84375
plants,PLANTS,Yan,rep2,72,67,25,34.72222222,31,43.05555556,33,45.83333333,34,47.22222222,37,51.38888889
plants,PLANTS,Philips,rep2,39,33,9,23.07692308,10,25.64102564,10,25.64102564,11,28.20512821,11,28.20512821
plants,PLANTS,Chen,rep2,52,49,18,34.61538462,19,36.53846154,21,40.38461538,22,42.30769231,22,42.30769231
plants,PLANTS,Ruiz,rep2,52,50,8,15.38461538,11,21.15384615,11,21.15384615,12,23.07692308,13,25
plants,PLANTS,All128,rep2,128,115,38,29.6875,47,36.71875,49,38.28125,51,39.84375,55,42.96875
plants,PLANTS,Yan,rep3,72,67,27,37.5,30,41.66666667,31,43.05555556,35,48.61111111,38,52.77777778
plants,PLANTS,Philips,rep3,39,33,8,20.51282051,9,23.07692308,10,25.64102564,10,25.64102564,11,28.20512821
plants,PLANTS,Chen,rep3,52,49,16,30.76923077,18,34.61538462,19,36.53846154,20,38.46153846,22,42.30769231
plants,PLANTS,Ruiz,rep3,52,50,7,13.46153846,10,19.23076923,11,21.15384615,11,21.15384615,12,23.07692308
plants,PLANTS,All128,rep3,128,115,38,29.6875,45,35.15625,47,36.71875,51,39.84375,55,42.96875
surfna,SurfNA,Yan,pool0,72,72,42,58.33333333,46,63.88888889,46,63.88888889,50,69.44444444,54,75
surfna,SurfNA,Philips,pool0,39,39,17,43.58974359,20,51.28205128,20,51.28205128,22,56.41025641,23,58.97435897
surfna,SurfNA,Chen,pool0,52,52,27,51.92307692,34,65.38461538,34,65.38461538,36,69.23076923,38,73.07692308
