contrast,epoch_or_aulc,metric,positive_direction,point_estimate,ci95_low,ci95_high,probability_benefit_gt0,bootstrap_repetitions,bootstrap_seed
Transfer-NonSurface-Scratch-Full8,50,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.2808988764044944,0.2247191011235955,0.3408239700374532,1.0,20000,475738379051304271
Transfer-NonSurface-Scratch-Full8,50,best_of_k10_rmsd,transfer better than paired scratch,4.065732151023165,1.007695735262766,10.639749942962212,1.0,20000,14650199588869625743
Transfer-NonSurface-Scratch-Full8,75,pose_density_rmsd_lt2,transfer better than paired scratch,0.12883895131086143,0.09999999999999999,0.15805243445692885,1.0,20000,2367046788011860305
Transfer-NonSurface-Scratch-Full8,75,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.35580524344569286,0.2397003745318352,0.4606741573033708,1.0,20000,16237304124691977488
Transfer-NonSurface-Scratch-Full8,75,best_of_k10_rmsd,transfer better than paired scratch,22.938591029134813,1.1724198192656625,49.57162897299003,1.0,20000,12590702219653742274
Transfer-NonSurface-Scratch-Full8,100,pose_density_rmsd_lt2,transfer better than paired scratch,0.1307116104868914,0.10786516853932586,0.15505617977528088,1.0,20000,3255038509316235040
Transfer-NonSurface-Scratch-Full8,100,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.26591760299625467,0.2097378277153558,0.32584269662921345,1.0,20000,1746255711059865399
Transfer-NonSurface-Scratch-Full8,100,best_of_k10_rmsd,transfer better than paired scratch,427244.9867623316,0.9572123989613178,1539478.4213318836,1.0,20000,8742268513944707410
Transfer-NonSurface-Scratch-Full8,125,pose_density_rmsd_lt2,transfer better than paired scratch,0.12958801498127342,0.09887640449438202,0.1647940074906367,1.0,20000,6724540265890692928
Transfer-NonSurface-Scratch-Full8,125,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.24719101123595505,0.16104868913857678,0.34456928838951306,1.0,20000,4417648650532909207
Transfer-NonSurface-Scratch-Full8,125,best_of_k10_rmsd,transfer better than paired scratch,5635937.960283356,4.917783096128383,21537077.0532713,1.0,20000,12657632580776912585
Transfer-NonSurface-Scratch-Full8,150,pose_density_rmsd_lt2,transfer better than paired scratch,0.12097378277153557,0.09588014981273407,0.14756554307116104,1.0,20000,16047521873923981094
Transfer-NonSurface-Scratch-Full8,150,best_of_k10_coverage_rmsd_lt2,transfer better than paired scratch,0.1647940074906367,0.10861423220973783,0.22471910112359553,1.0,20000,1080896673740478866
