arm,training_seed,epoch,condition_id,gate_alpha,chemistry_condition,shuffle_seed,pose_density_rmsd_lt2,best_of_k10_coverage_rmsd_lt2,best_of_k10_rmsd
Transfer-All,2,200,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.635192812396161
Transfer-All,2,200,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.3202247191011236,0.7078651685393258,2.0729249030238086
Transfer-All,2,200,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.3101123595505618,0.7078651685393258,1.9986282180171628
Transfer-All,2,200,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.32921348314606746,0.7191011235955056,2.062119258624249
Transfer-NonSurface,0,25,baseline_true_gate1,1.0,true_chemistry,none,0.0449438202247191,0.2808988764044944,3.5328630104961682
Transfer-NonSurface,0,25,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.541835849978149
Transfer-NonSurface,0,25,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.0449438202247191,0.2696629213483146,3.528604382780298
Transfer-NonSurface,0,25,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.0449438202247191,0.2808988764044944,3.526690304811968
Transfer-NonSurface,0,25,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.0449438202247191,0.2696629213483146,3.5451972092098463
Transfer-NonSurface,0,100,baseline_true_gate1,1.0,true_chemistry,none,0.17303370786516856,0.5617977528089888,2.2877103609799283
Transfer-NonSurface,0,100,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.628650201514453
Transfer-NonSurface,0,100,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.16741573033707868,0.550561797752809,2.3135901725490102
Transfer-NonSurface,0,100,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.16292134831460675,0.5056179775280899,2.3066738492857612
Transfer-NonSurface,0,100,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.17303370786516856,0.550561797752809,2.304346774196819
Transfer-NonSurface,0,200,baseline_true_gate1,1.0,true_chemistry,none,0.2786516853932584,0.651685393258427,2.3320136744287625
Transfer-NonSurface,0,200,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.673708860058454
Transfer-NonSurface,0,200,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.2696629213483146,0.6629213483146067,2.250908101741304
Transfer-NonSurface,0,200,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.26067415730337085,0.7078651685393258,2.1502795629811837
Transfer-NonSurface,0,200,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.25617977528089886,0.651685393258427,2.2633153920452944
Transfer-NonSurface,1,25,baseline_true_gate1,1.0,true_chemistry,none,0.052808988764044947,0.2696629213483146,3.287159520547729
Transfer-NonSurface,1,25,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.558191546715674
Transfer-NonSurface,1,25,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.052808988764044947,0.2696629213483146,3.2962060563588405
Transfer-NonSurface,1,25,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.051685393258426963,0.2696629213483146,3.2996165445374204
Transfer-NonSurface,1,25,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.05056179775280899,0.2696629213483146,3.2960689946091364
Transfer-NonSurface,1,100,baseline_true_gate1,1.0,true_chemistry,none,0.19887640449438201,0.6179775280898876,2.2501598681818744
Transfer-NonSurface,1,100,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.667671957636575
Transfer-NonSurface,1,100,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.19325842696629217,0.6179775280898876,2.256240159057641
Transfer-NonSurface,1,100,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.19213483146067417,0.6179775280898876,2.2492350601617437
Transfer-NonSurface,1,100,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.19101123595505617,0.6292134831460674,2.239446424630889
Transfer-NonSurface,1,200,baseline_true_gate1,1.0,true_chemistry,none,0.2853932584269663,0.7078651685393258,2.099713359378014
Transfer-NonSurface,1,200,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.69749084396576
Transfer-NonSurface,1,200,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.2539325842696629,0.6741573033707865,2.1905279231281933
Transfer-NonSurface,1,200,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.2539325842696629,0.651685393258427,2.193602382881977
Transfer-NonSurface,1,200,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.2550561797752809,0.6966292134831461,2.1743723052128856
Transfer-NonSurface,2,25,baseline_true_gate1,1.0,true_chemistry,none,0.06067415730337078,0.30337078651685395,3.2269299425345883
Transfer-NonSurface,2,25,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.568954900349166
Transfer-NonSurface,2,25,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.06067415730337078,0.30337078651685395,3.235382394185136
Transfer-NonSurface,2,25,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.05955056179775281,0.30337078651685395,3.2520691882645445
Transfer-NonSurface,2,25,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.05842696629213482,0.30337078651685395,3.2612528794185214
Transfer-NonSurface,2,100,baseline_true_gate1,1.0,true_chemistry,none,0.1865168539325843,0.6067415730337079,2.3577395557262304
Transfer-NonSurface,2,100,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.64528416064614
Transfer-NonSurface,2,100,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.1865168539325843,0.5955056179775281,2.3427579437258017
Transfer-NonSurface,2,100,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.18089887640449437,0.5730337078651685,2.365593516909191
Transfer-NonSurface,2,100,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.17415730337078653,0.5842696629213483,2.3682471305160337
Transfer-NonSurface,2,200,baseline_true_gate1,1.0,true_chemistry,none,0.29213483146067415,0.6629213483146067,2.1418914063444183
Transfer-NonSurface,2,200,surface_off_true_gate0,0.0,true_chemistry,none,0.0,0.0,8.645822774642564
Transfer-NonSurface,2,200,chemistry_shuffle_20260911,1.0,joint_shuffled_chemistry,20260911,0.2651685393258427,0.7078651685393258,2.1608738894123802
Transfer-NonSurface,2,200,chemistry_shuffle_20260912,1.0,joint_shuffled_chemistry,20260912,0.2707865168539326,0.6853932584269663,2.165238664306665
Transfer-NonSurface,2,200,chemistry_shuffle_20260913,1.0,joint_shuffled_chemistry,20260913,0.2707865168539326,0.6741573033707865,2.190134541040677
