arm,training_seed,epoch,pose_density_rmsd_lt2,best_of_k10_coverage_rmsd_lt2,best_of_k10_rmsd
Scratch-Full8,0,25,0.006741573033707866,0.056179775280898875,5.271866481511236
Scratch-Full8,0,50,0.025842696629213482,0.19101123595505617,3.792550006154081
Scratch-Full8,0,75,0.04044943820224719,0.2808988764044944,3.53804920501439
Scratch-Full8,0,100,0.05393258426966292,0.3258426966292135,3.254704509036338
Scratch-Full8,0,125,0.09438202247191012,0.42696629213483145,6.920262512813939
Scratch-Full8,0,150,0.1202247191011236,0.4606741573033708,2.6082959491806306
Scratch-Full8,0,175,0.07865168539325842,0.33707865168539325,13.564309282650987
Scratch-Full8,0,200,0.13033707865168542,0.43820224719101125,6.814194876819703
Scratch-Full8,1,25,0.011235955056179775,0.0898876404494382,438.8130961401063
Scratch-Full8,1,50,0.02359550561797753,0.1797752808988764,3.7353948922321347
Scratch-Full8,1,75,0.01910112359550562,0.14606741573033707,24.566449344879274
Scratch-Full8,1,100,0.055056179775280906,0.33707865168539325,3.66177958878226
Scratch-Full8,1,125,0.058426966292134834,0.30337078651685395,273443.44801516394
Scratch-Full8,1,150,0.12247191011235957,0.4157303370786517,2.8784378960404626
Scratch-Full8,1,175,0.149438202247191,0.48314606741573035,2.4611068383468835
Scratch-Full8,1,200,0.15280898876404497,0.5168539325842697,2.4382090630804467
Scratch-Full8,2,25,0.011235955056179775,0.10112359550561797,4.203927431458806
Scratch-Full8,2,50,0.02247191011235955,0.15730337078651685,12.708351464955635
Scratch-Full8,2,75,0.021348314606741574,0.15730337078651685,47.96393213997792
Scratch-Full8,2,100,0.05955056179775281,0.3258426966292135,1281734.9232954897
Scratch-Full8,2,125,0.09325842696629215,0.4044943820224719,16634370.216866922
Scratch-Full8,2,150,0.12471910112359551,0.47191011235955055,45.00387758671931
Scratch-Full8,2,175,0.12584269662921346,0.4157303370786517,1180133751676.5059
Scratch-Full8,2,200,0.14269662921348317,0.449438202247191,36.65240772092361
Transfer-All,0,25,0.19213483146067417,0.6067415730337079,2.110834025135891
Transfer-All,0,50,0.2640449438202247,0.7191011235955056,2.0325796821015945
Transfer-All,0,75,0.28988764044943816,0.6966292134831461,1.9909973086469508
Transfer-All,0,100,0.32359550561797756,0.7528089887640449,1.9793128813260554
Transfer-All,0,125,0.3337078651685393,0.7415730337078652,2.002281129617275
Transfer-All,0,150,0.32921348314606746,0.7528089887640449,2.000033972255494
Transfer-All,0,175,0.3449438202247191,0.7528089887640449,1.9197644856459857
Transfer-All,0,200,0.34494382022471914,0.7752808988764045,1.9478327634284764
Transfer-All,1,25,0.20224719101123595,0.6404494382022472,2.1601776940260193
Transfer-All,1,50,0.26179775280898876,0.6853932584269663,2.083412050925633
Transfer-All,1,75,0.27640449438202247,0.6966292134831461,2.0739562400352485
Transfer-All,1,100,0.31348314606741573,0.7752808988764045,2.03036234305764
Transfer-All,1,125,0.32921348314606746,0.7528089887640449,1.9747057780187491
Transfer-All,1,150,0.33033707865168543,0.7415730337078652,1.9479076404135074
Transfer-All,1,175,0.3393258426966292,0.7303370786516854,2.0327343313101
Transfer-All,1,200,0.350561797752809,0.6966292134831461,2.0095463815506793
Transfer-All,2,25,0.19213483146067417,0.6292134831460674,2.107593442198676
Transfer-All,2,50,0.2662921348314607,0.7303370786516854,2.027977075223349
Transfer-All,2,75,0.2876404494382023,0.7078651685393258,2.046834598368144
Transfer-All,2,100,0.3044943820224719,0.7078651685393258,2.016386301274736
Transfer-All,2,125,0.31235955056179776,0.7078651685393258,2.0226940617095606
Transfer-All,2,150,0.3258426966292135,0.7528089887640449,2.107830825074562
Transfer-All,2,175,0.32471910112359553,0.7415730337078652,2.1344558239550233
Transfer-All,2,200,0.3449438202247191,0.7303370786516854,2.0617577394159303
Transfer-NonSurface,0,25,0.046067415730337076,0.2808988764044944,3.5402040877856944
Transfer-NonSurface,0,50,0.1146067415730337,0.4606741573033708,2.660638007400414
Transfer-NonSurface,0,75,0.1449438202247191,0.5168539325842697,2.404813912979556
Transfer-NonSurface,0,100,0.17303370786516856,0.5617977528089888,2.2844157479675773
Transfer-NonSurface,0,125,0.2089887640449438,0.6292134831460674,2.2868760020930456
Transfer-NonSurface,0,150,0.23483146067415733,0.6179775280898876,2.2009706420926025
Transfer-NonSurface,0,175,0.21797752808988766,0.6292134831460674,2.214505330050959
Transfer-NonSurface,0,200,0.2786516853932584,0.651685393258427,2.3211920901586796
Transfer-NonSurface,1,25,0.052808988764044947,0.2696629213483146,3.2878518670554313
Transfer-NonSurface,1,50,0.10224719101123596,0.449438202247191,2.6431085784589374
Transfer-NonSurface,1,75,0.16853932584269662,0.5842696629213483,2.503533519521943
Transfer-NonSurface,1,100,0.2,0.6179775280898876,2.242839037033278
Transfer-NonSurface,1,125,0.21685393258426966,0.6404494382022472,2.21382042158194
Transfer-NonSurface,1,150,0.24494382022471914,0.6179775280898876,2.294903073016769
Transfer-NonSurface,1,175,0.25617977528089886,0.6629213483146067,2.1732392034168986
Transfer-NonSurface,1,200,0.2853932584269663,0.7078651685393258,2.1003512808079425
Transfer-NonSurface,2,25,0.06067415730337078,0.30337078651685395,3.2315380910503912
Transfer-NonSurface,2,50,0.10786516853932585,0.4606741573033708,2.7353533244130013
Transfer-NonSurface,2,75,0.15393258426966291,0.550561797752809,2.3443101699656377
Transfer-NonSurface,2,100,0.18764044943820224,0.6067415730337079,2.352237807268955
Transfer-NonSurface,2,125,0.20898876404494385,0.6067415730337079,2.2035981082887504
Transfer-NonSurface,2,150,0.250561797752809,0.6067415730337079,2.282630392696484
Transfer-NonSurface,2,175,0.2786516853932584,0.6853932584269663,2.1558542506375766
Transfer-NonSurface,2,200,0.2932584269662922,0.6629213483146067,2.145502603783732
