subset	fraction_pct	left	right	metric	difference_left_minus_right	ci95_low	ci95_high	unit	bootstrap_draws	resampling	ci_status	finite_bootstrap_draws
All128	10	Transfer-All	PLANTS	pose_density_lt2_pct	6.354166666666667	2.994791666666666	9.791666666666664	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	PLANTS	coverage_k10_lt2_pct	6.510416666666664	-2.3502604166666607	15.364583333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	PLANTS	median_best_rmsd_A	-1.2376296802092002	-1.787397594390843	-0.4847146561804295	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	PLANTS	valid_fraction_pct	10.15625	5.46875	15.625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	AutoDock-GPU	pose_density_lt2_pct	2.369791666666666	-1.276041666666666	6.119791666666666	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	AutoDock-GPU	coverage_k10_lt2_pct	9.635416666666664	1.295572916666668	17.96875	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	AutoDock-GPU	median_best_rmsd_A	-0.6947167485425334	-1.2220131704357153	-0.2823090898375588	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-All	AutoDock-GPU	valid_fraction_pct	4.6875	1.5625	8.59375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	Vina	pose_density_lt2_pct	-2.317708333333334	-4.271484375	-0.4947916666666665	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	Vina	coverage_k10_lt2_pct	-15.364583333333332	-23.4375	-7.291666666666664	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	Vina	median_best_rmsd_A	-0.2277813905977326	-0.8203418077043951	0.6506102407856919	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	Vina	valid_fraction_pct	17.1875	10.9375	23.69791666666667	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	rDock	pose_density_lt2_pct	-21.067708333333336	-27.291666666666664	-15.260416666666668	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	rDock	coverage_k10_lt2_pct	-16.666666666666668	-25.260416666666668	-8.333333333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	rDock	median_best_rmsd_A	0.11526686273560083	-0.27285371296533384	0.7400750206885508	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	rDock	valid_fraction_pct	0.78125	0.0	2.34375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	LeDock	pose_density_lt2_pct	-20.703125	-26.276041666666668	-15.416666666666666	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	LeDock	coverage_k10_lt2_pct	-24.739583333333332	-33.854166666666664	-16.145833333333332	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	LeDock	median_best_rmsd_A	0.8336284044022673	0.5248229049250096	1.3058056071090516	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	LeDock	valid_fraction_pct	6.276041666666671	3.0208333333333286	10.0	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	PLANTS	pose_density_lt2_pct	-3.359375	-5.520833333333334	-1.380208333333333	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	PLANTS	coverage_k10_lt2_pct	-16.666666666666668	-25.0	-8.333333333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	PLANTS	median_best_rmsd_A	-0.4328467622643992	-0.9145533915247062	0.3516021953465561	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	PLANTS	valid_fraction_pct	10.15625	5.46875	15.625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	AutoDock-GPU	pose_density_lt2_pct	-7.343750000000001	-10.677734375	-4.270833333333334	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	AutoDock-GPU	coverage_k10_lt2_pct	-13.541666666666668	-21.614583333333332	-5.989583333333332	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	AutoDock-GPU	median_best_rmsd_A	0.11006616940226754	-0.35478431892005574	0.6001068371267309	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	10	Transfer-NonSurface	AutoDock-GPU	valid_fraction_pct	4.6875	1.5625	8.59375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Vina	pose_density_lt2_pct	8.880208333333332	5.885416666666667	12.162109374999993	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Vina	coverage_k10_lt2_pct	13.802083333333336	4.6875	22.916666666666664	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Vina	median_best_rmsd_A	-1.2162651732509215	-1.8996056674448611	-0.36938222932552	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	Vina	valid_fraction_pct	17.1875	10.9375	23.69791666666667	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	rDock	pose_density_lt2_pct	-9.869791666666668	-16.25	-3.7239583333333357	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	rDock	coverage_k10_lt2_pct	12.5	3.125	21.875	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	rDock	median_best_rmsd_A	-0.8732169199175881	-1.3031507155284807	-0.32338377094342946	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	rDock	valid_fraction_pct	0.78125	0.0	2.34375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	LeDock	pose_density_lt2_pct	-9.505208333333332	-15.234375000000002	-4.0625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	LeDock	coverage_k10_lt2_pct	4.427083333333336	-4.947916666666671	13.802083333333336	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	LeDock	median_best_rmsd_A	-0.15485537825092166	-0.518552721948946	0.20978182339468188	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	LeDock	valid_fraction_pct	6.276041666666671	3.0208333333333286	10.0	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	PLANTS	pose_density_lt2_pct	7.838541666666667	4.583333333333334	11.328125	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	PLANTS	coverage_k10_lt2_pct	12.5	3.3854166666666643	21.875	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	PLANTS	median_best_rmsd_A	-1.4213305449175881	-2.015792483595359	-0.6621393654620075	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	PLANTS	valid_fraction_pct	10.15625	5.46875	15.625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	AutoDock-GPU	pose_density_lt2_pct	3.854166666666666	0.0	7.786458333333333	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-All	AutoDock-GPU	coverage_k10_lt2_pct	15.625	7.03125	24.479166666666664	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
