benchmark_set	population	method	top_n	n_complexes	success_count	success_rate	success_pct	complex_failure_count	invalid_pose_count	ranking_policy
All128	rankable_lt2	SurfNA-scorer0	1	92	67	0.7282608695652174	72.82608695652173	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	2	92	76	0.8260869565217391	82.6086956521739	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	3	92	79	0.8586956521739131	85.8695652173913	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	4	92	79	0.8586956521739131	85.8695652173913	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	5	92	79	0.8586956521739131	85.8695652173913	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	6	92	80	0.8695652173913043	86.95652173913044	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	7	92	82	0.8913043478260869	89.1304347826087	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	8	92	82	0.8913043478260869	89.1304347826087	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	9	92	83	0.9021739130434783	90.21739130434783	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	SurfNA-scorer0	10	92	86	0.9347826086956522	93.47826086956522	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	1	92	48	0.5217391304347826	52.17391304347826	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	2	92	63	0.6847826086956522	68.47826086956522	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	3	92	68	0.7391304347826086	73.91304347826087	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	4	92	70	0.7608695652173914	76.08695652173913	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	5	92	74	0.8043478260869565	80.43478260869566	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	6	92	78	0.8478260869565217	84.78260869565217	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	7	92	80	0.8695652173913043	86.95652173913044	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
All128	rankable_lt2	AutoDock-Vina-1.2.7	8	92	81	0.8804347826086957	88.04347826086956	2	96	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
